Monthly Antarctic Sea Ice Areas (in square kilometers), Arranged Chronologically
 
Year  Month       Weddell         Indian         Western           Ross       Bellingshausen      Total
                   Sea             Ocean      Pacific Ocean         Sea      & Amundsen Seas
 
1978   11         4401496         1943272         1013542         2606369         1713376        11678055
1978   12         2898400          677130          564799         1534071         1289506         6963905
1979    1         1415880          249560          447033          504699          854871         3472042
1979    2          906523          120969          330710          132712          614354         2105267
1979    3         1298041          134269          382436          330077          516271         2661095
1979    4         2056430          426142          533972         1544506          887150         5448199
1979    5         3137818          863833          773451         2394562         1123943         8293607
1979    6         4547137         1520406          976029         2939278         1233740        11216590
1979    7         5271745         2090928         1068813         3350198         1466918        13248601
1979    8         5424529         2274747         1094327         3137926         1844975        13776504
1979    9         5499960         2651279         1291427         2859981         1975037        14277684
1979   10         5215253         2792430         1130202         2734480         1841010        13713376
1979   11         4764960         1808669          938609         2132100         1670415        11314752
1979   12         2921936          663822          533559          905180         1207719         6232216
1980    1         1401756          211856          322656          336682          807537         3080486
1980    2          867644           64750          181323          155700          576060         1845476
1980    3         1083079           88763          139193          280819          516730         2108583
1980    4         1700720          207493          281934          759661          725672         3675479
1980    5         2989356          721896          587123         1261284          872861         6432520
1980    6         4465012         1310087          843611         1865785         1090662         9575158
1980    7         5466182         1925663          950426         2420060         1410206        12172538
1980    8         6057042         2535435         1192129         2664737         1497433        13946776
1980    9         6284402         2860735         1209122         2984304         1517658        14856221
1980   10         5930944         2884102         1392423         3074280         1276590        14558339
1980   11         4905829         2135703          907457         2792169         1091521        11832679
1980   12         2647704          884635          596785         1523587          901344         6554055
1981    1          898353          261405          416716          672641          589822         2838937
1981    2          594143          120908          272283          316419          432327         1736080
1981    3          724011          143464          240531          661863          383564         2153433
1981    4         1318263          451047          423515         1295578          581978         4070381
1981    5         2632052          961735          646513         1876998          955306         7072604
1981    6         4241841         1516086          822499         2589833          986553        10156813
1981    7         5259739         2043425         1072272         3120140         1273074        12768650
1981    8         5757411         2417999         1026832         3352806         1591921        14146970
1981    9         5912084         2972523         1256665         3025319         1605364        14771956
1981   10         5656829         2997365         1261045         2897596         1610720        14423555
1981   11         4739153         2253720          978296         2632632         1461067        12064869
1981   12         2657533          790289          549912         1880463         1131759         7009957
1982    1         1051718          223999          284325          966061          722525         3248628
1982    2          756763          110118          184160          383705          423742         1858488
1982    3         1047136          140088          230664          873955          547341         2839184
1982    4         1758668          534933          622802         1885561          986201         5788165
1982    5         2700483         1020221          843439         2508525         1194519         8267186
1982    6         3771806         1545046         1040212         2837458         1297023        10491546
1982    7         4746688         2173922         1187989         2973784         1382574        12464956
1982    8         5187032         2718226         1709028         3157396         1503684        14275366
1982    9         5191824         2890588         1850802         3017823         1569317        14520352
1982   10         4864885         2884195         1620802         3085839         1280273        13735993
1982   11         4188567         1928205         1143217         2769929         1231401        11261318
1982   12         2635084          601091          547762         1593749          931547         6309233
1983    1         1415076          238557          323758          549494          677743         3204628
1983    2          930749           84774          181006          248513          458983         1904025
1983    3         1116129           88233          196740          658157          554464         2613723
1983    4         2025832          251698          460183         1358340          596523         4692575
1983    5         2884665          721642          807800         2066306          674217         7154629
1983    6         3757196         1472284          970172         2569395          993358         9762405
1983    7         4694603         2059186         1331722         3040687         1232080        12358278
1983    8         4758559         2685756         1587485         3358950         1437200        13827950
1983    9         5465256         2784181         1629700         3381748         1412482        14673367
1983   10         5077276         2743145         1572772         2992514         1522818        13908525
1983   11         4369241         2085573         1080510         2699281         1324713        11559318
1983   12         2703211         1057645          431784         1515445          991955         6700041
1984    1         1204691          375830          244333          484210          623187         2932251
1984    2          829373          152480          138339          220500          410359         1751050
1984    3         1053350          151996          165179          634192          338332         2343049
1984    4         1739567          479684          410991         1347484          547482         4525208
1984    5         2788069          892967          688582         2168899          869241         7407757
1984    6         4014067         1516363         1088658         2891576         1127756        10638420
1984    7         5152637         2224154         1304583         3382624         1308290        13372288
1984    8         5321292         2605135         1288789         3444732         1561598        14221545
1984    9         5336096         2634934         1267793         3408623         1611158        14258603
1984   10         5029927         2788573         1213272         2975130         1718306        13725209
1984   11         4618110         2367019          947734         2802754         1314138        12049755
1984   12         2878272          804373          539180         1772413          959373         6953611
1985    1         1048635          201613          341702          624465          655483         2871897
1985    2          690995          101735          193404          378800          468321         1833254
1985    3          814590          153692          179533          949219          439459         2536493
1985    4         1570411          403785          385152         1839302          540025         4738675
1985    5         2750867          908962          751699         2649921          772337         7833787
1985    6         4175078         1582107         1004664         2817041          920194        10499084
1985    7         4798497         2167211         1195722         2939948         1370928        12472306
1985    8         5266719         2623601         1330631         3324500         1687246        14232696
1985    9         5046369         2946124         1402957         3562166         1754859        14712475
1985   10         5165598         2825946         1339884         3348178         1678489        14358095
1985   11         4690722         2373849          800391         3030610         1440837        12336409
1985   12         2984599          986952          381911         1921475         1175672         7450609
1986    1         1181355          333108          188060          873432          849109         3425063
1986    2          707334          188412           83839          435956          579165         1994706
1986    3          781885          132927           63919          872230          526390         2377350
1986    4         1434846          321274          233844         1792911          772330         4555206
1986    5         2807295          594532          545638         2096576          991637         7035678
1986    6         3799212         1419533         1046289         1981477         1466856         9713367
1986    7         4438103         2039508         1239139         2499540         1869431        12085720
1986    8         4819934         2581861         1271115         2873222         1902833        13448966
1986    9         5063829         2648821         1257834         2907513         1988947        13866944
1986   10         4992728         2393738         1136695         2989388         1802505        13315053
1986   11         4156370         1634817          825638         2599982         1641852        10858658
1986   12         2635195          470558          456755         1711220         1210741         6484469
1987    1         1238209          189243          285705          880636          710627         3304420
1987    2          819659           61651          162758          480273          472687         1997028
1987    3          947455           79539          151638          934413          631711         2744756
1987    4         1479030          308561          337862         1851980         1063495         5040929
1987    5         2702122          717336          650345         2403848         1055750         7529402
1987    6         3964062         1186142          911811         2537964         1303601         9903579
1987    7         4959767         1962992          961310         2872172         1733625        12489866
1987    8         5694713         2497357         1305500         2951402         1568931        14017903
1987    9         5724109         2745497         1263899         3009518         1518403        14261426
1987   10         5586396         2713296         1069564         2956423         1376400        13702079
1987   11         4514982         1787069          751661         2985650         1180368        11219730
1987   12         2638680          636868          445437         1902294          943090         6566369
1988    1          957601          164346          367241          960633          585017         3034839
1988    2          679995           56024          258330          493205          411413         1898967
1988    3          823033           49923          309027          914623          491357         2587963
1988    4         1457288          308792          499797         1577349          589593         4432819
1988    5         2533470          763046          730595         2373987          822425         7223524
1988    6         3944828         1300092          996403         3004740         1025853        10271916
1988    7         5233816         1982979         1205480         3096650         1088938        12607864
1988    8         5732366         2514087         1374163         3093836         1253663        13968116
1988    9         5792235         2781630         1286690         3146446         1182214        14189214
1988   10         5720003         2733035         1195713         3534993         1221359        14405104
1988   11         5273978         2062242          885995         3066556          996799        12285570
1988   12         3253394         1021246          516629         1787104          819636         7398009
1989    1         1213737          249593          350223          807101          547887         3168541
1989    2          843790          121649          221105          496682          341164         2024389
1989    3          825431          238967          336096          869612          315316         2585422
1989    4         1608057          609317          557025         1375590          342981         4492971
1989    5         2909477         1328976          813195         2282324          660177         7994149
1989    6         3702762         2005437         1048739         2914407         1136413        10807757
1989    7         4575722         2454131         1118864         3110874         1310313        12569904
1989    8         5456124         2828927         1049975         3338369         1349565        14022960
1989    9         5435890         3263282          864807         3333436         1569825        14467240
1989   10         5023656         3130292          807923         3322454         1552802        13837127
1989   11         4263957         2324618          743447         2658288         1421462        11411774
1989   12         2653358         1044559          432555         1684455          884953         6699879
1990    1         1377548          451506          306204          677499          572933         3385689
1990    2         1068906          236316          186407          335957          376316         2203902
1990    3         1198081          191504          262048          773906          366121         2791661
1990    4         1815071          493108          535057         1818416          515504         5177156
1990    5         2621735          898228          784075         2386209          768111         7458357
1990    6         3817364         1482811         1069887         2666671         1310412        10347144
1990    7         4556575         1834904         1202238         3044544         1621452        12259713
1990    8         5137315         2482611         1375612         3211194         1818226        14024957
1990    9         5031304         3007885         1384242         3181921         1776782        14382134
1990   10         4710241         2570842         1423779         3291102         1793095        13789059
1990   11         3944778         1872131         1020075         2837428         1663334        11337746
1990   12         2628264          738002          585823         1810428          963112         6725628
1991    1         1683150          261748          411533          783120          374915         3514467
1991    2         1321378          115833          273874          238569          139841         2089496
1991    3         1556382          128444          281349          505652          180758         2652585
1991    4         2289407          340176          423654         1689255          435533         5178026
1991    5         3227792          796942          721607         2085451         1018656         7850448
1991    6         4056955         1294252          878731         2326135         1423494         9979567
1991    7         4902512         1780406         1082345         3011422         1433712        12210397
1991    8         5586015         2267521         1312252         3104362         1772215        14042365
1991    9         5708850         2629513         1385838         3124558         1613448        14462207
1991   10         5646727         2620662         1190839         2881138         1454784        13794149
1991   11         4798466         1903591          887424         2655377         1205220        11450079
1991   12         3341927          730870          561827         1484366          674190         6793181
1992    1         1667031          229200          425040          596065          315948         3233283
1992    2         1043596           96115          298559          274278          141854         1854403
1992    3         1470137          102590          313046          388881          190423         2465076
1992    4         2369430          404682          504344         1254270          461073         4993800
1992    5         3326682          801965          804555         1979700          704214         7617116
1992    6         4506732         1234303          955100         2232706         1068726         9997566
1992    7         5658253         1896581         1102346         2698215         1213406        12568801
1992    8         6073272         2456275         1305124         3097385         1231399        14163454
1992    9         5579582         2811852         1209212         3101184         1423056        14124885
1992   10         5281018         2951412         1159932         3154809         1298741        13845913
1992   11         4280332         2128442          836640         2768162         1178846        11192422
1992   12         2397921          876264          436912         1690994          771256         6173348
1993    1          964439          276519          274483          581841          448479         2545761
1993    2          641823          113056          174080          199519          243126         1371604
1993    3          976947          138692          208828          636886          274755         2236108
1993    4         1906621          466467          415010         1542616          565840         4896555
